Id;Country;Area
1;Russia;17,098,242
2;Canada;9,984,670
3;China;9,596,961
4;UnitedStates;9,525,067
5;Brazil;8,515,767
6;Australia;7,692,024
7;India;3,287,263
8;Argentina;2,780,400
9;Kazakhstan;2,724,900
10;Algeria;2,381,741
11;DemocraticRepublicoftheCongo;2,344,858
12;Greenland(Denmark);2,166,086
13;SaudiArabia;2,149,690
14;Mexico;1,964,375
15;Indonesia;1,904,569
16;Sudan;1,886,068
17;Libya;1,759,541
18;Iran;1,648,195
19;Mongolia;1,564,116
20;Peru;1,285,216
21;Chad;1,284,000
22;Niger;1,267,000
23;Angola;1,246,700
24;Mali;1,240,192
25;SouthAfrica;1,221,037
26;Colombia;1,141,748
27;Ethiopia;1,104,300
28;Bolivia;1,098,581
29;Mauritania;1,030,700
30;Egypt;1,002,000
31;Tanzania;947,303
32;Nigeria;923,768
33;Venezuela;912,05
34;Namibia;824,292
35;Mozambique;801,59
36;Pakistan;796,095
37;Turkey;783,356
38;Chile;756,102
39;Zambia;752,618
40;Myanmar;676,578
41;Afghanistan;652,23
42;SouthSudan;619,745
43;France;643,801
44;Somalia;637,657
45;CentralAfricanRepublic;622,984
46;Ukraine;603,5
47;Madagascar;587,041
48;Botswana;581,73
49;Kenya;580,367
50;Yemen;527,968
51;Thailand;513,12
52;Spain;505,992
53;Turkmenistan;488,1
54;Cameroon;475,442
55;PapuaNewGuinea;462,84
56;Sweden;450,295
57;Uzbekistan;447,4
58;Morocco;446,55
59;Iraq;438,317
60;Paraguay;406,752
61;Zimbabwe;390,757
62;Japan;377,975
63;Germany;357,114
64;RepublicoftheCongo;342
65;Finland;338,424
66;Vietnam;331,212
67;Malaysia;330,803
68;Norway;323,802
69;IvoryCoast;322,463
70;Poland;312,696
71;Oman;309,5
72;Italy;301,34
73;Philippines;300
74;Ecuador;276,841
75;BurkinaFaso;272,967
76;NewZealand;270,467
77;Gabon;267,667
78;Guinea;245,857
79;UnitedKingdom;243,61
80;Uganda;241,038
81;Ghana;238,533
82;Romania;238,391
83;Laos;236,8
84;Guyana;214,969
85;Belarus;207,6
86;Kyrgyzstan;199,951
87;Senegal;196,722
88;Syria;185,18
89;Cambodia;181,035
90;Uruguay;176,215
91;Tunisia;163,61
92;Suriname;163,82
93;Nepal;147,181
94;Bangladesh;147,57
95;Tajikistan;143,1
96;Greece;131,957
97;Nicaragua;130,373
98;NorthKorea;120,538
99;Malawi;118,484
100;Eritrea;117,6
101;Benin;114,763
102;Honduras;112,492
103;Liberia;111,369
104;Bulgaria;110,879
105;Cuba;110,86
106;Guatemala;108,889
107;Iceland;103
108;SouthKorea;100,21
109;Hungary;93,028
110;Jordan;89,342
111;Portugal;92,09
112;Serbia;88,361
113;Azerbaijan;86,6
114;Austria;83,871
115;UnitedArabEmirates;83,6
116;CzechRepublic;78,867
117;Panama;75,417
118;SierraLeone;71,74
119;Ireland;70,273
120;Georgia;69,7
121;SriLanka;65,61
122;Lithuania;65,3
123;Latvia;64,589
124;Togo;56,785
125;Croatia;56,594
126;BosniaandHerzegovina;51,197
127;CostaRica;51,1
128;Slovakia;49,037
129;DominicanRepublic;48,671
130;Bhutan;38,394
131;Estonia;45,228
132;Denmark;43,094
133;Netherlands;41,543
134;Switzerland;41,29
135;Moldova;33,846
136;Belgium;30,528
137;Armenia;29,743
138;Lesotho;30,355
139;Albania;28,748
140;SolomonIslands;28,896
141;EquatorialGuinea;28,051
142;Burundi;27,834
143;Haiti;27,75
144;Rwanda;26,338
145;NorthMacedonia;25,713
146;Djibouti;23,2
147;Belize;22,966
148;ElSalvador;21,041
149;Israel;20,77
150;Slovenia;20,273